                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.017,                  2.452,                 2.0407,                0.12822,                0.14464,                0.06138,                0.02167,                 2.7614,                 3.2755,                 2.5151,             0.00066489,             0.00066489,             0.00066489
                      2,                 2.0123,                 2.2612,                 1.9722,                0.17494,                0.21053,                0.09451,                0.03138,                 2.2931,                 2.8274,                  2.195,              0.0012876,              0.0012876,              0.0012876
                      3,                 1.9353,                 2.1687,                  1.927,                0.39362,                0.30443,                0.26972,                0.10513,                 2.1021,                  2.183,                 2.0207,              0.0018663,              0.0018663,              0.0018663
                      4,                 1.8891,                 2.0857,                 1.8792,                0.33861,                0.29496,                0.27354,                0.11751,                 1.9882,                 2.1597,                 1.8555,               0.001802,               0.001802,               0.001802
                      5,                 1.8424,                 1.9896,                 1.8349,                0.37694,                0.36652,                0.32211,                0.14153,                 1.8503,                 1.9553,                 1.7404,               0.001736,               0.001736,               0.001736
                      6,                 1.7987,                 1.9072,                 1.7934,                0.41199,                0.35858,                0.33996,                0.14543,                 1.9089,                 1.9691,                 1.8072,                0.00167,                0.00167,                0.00167
                      7,                  1.773,                 1.8701,                 1.7778,                0.42916,                0.40622,                 0.3767,                 0.1596,                  1.844,                 1.8912,                  1.733,               0.001604,               0.001604,               0.001604
                      8,                 1.7442,                    1.8,                 1.7443,                0.47386,                0.43809,                0.42492,                0.19207,                 1.7804,                 1.7891,                 1.6805,               0.001538,               0.001538,               0.001538
                      9,                 1.7384,                 1.7647,                 1.7451,                0.52626,                0.44301,                0.45332,                0.19821,                 1.8272,                 1.7159,                 1.7258,               0.001472,               0.001472,               0.001472
                     10,                 1.7292,                 1.7345,                 1.7364,                0.49221,                0.42673,                0.43313,                0.20042,                 1.8087,                 1.6994,                 1.7009,               0.001406,               0.001406,               0.001406
                     11,                 1.7026,                 1.6807,                 1.7094,                 0.4982,                0.43006,                 0.4521,                0.21267,                 1.7641,                 1.6358,                 1.6494,                0.00134,                0.00134,                0.00134
                     12,                 1.6787,                 1.6732,                 1.6997,                0.51879,                0.39392,                0.41371,                0.18354,                 1.8187,                 1.7991,                 1.6896,               0.001274,               0.001274,               0.001274
                     13,                  1.684,                 1.6355,                 1.6948,                0.50864,                0.43038,                0.45847,                0.21255,                 1.7996,                  1.645,                 1.6958,               0.001208,               0.001208,               0.001208
                     14,                  1.651,                 1.5935,                 1.6773,                 0.5384,                0.45967,                0.48346,                 0.2355,                  1.715,                 1.5703,                 1.6445,               0.001142,               0.001142,               0.001142
                     15,                 1.6214,                 1.5359,                 1.6688,                0.54734,                0.46157,                0.48546,                0.23617,                 1.7235,                 1.5712,                 1.6561,               0.001076,               0.001076,               0.001076
                     16,                 1.6235,                 1.5513,                 1.6686,                 0.5088,                0.49143,                0.50123,                0.24994,                 1.6798,                  1.517,                 1.6146,                0.00101,                0.00101,                0.00101
                     17,                 1.6083,                 1.4974,                 1.6408,                0.58634,                0.47596,                0.51845,                0.26445,                 1.6756,                 1.5111,                 1.6117,               0.000944,               0.000944,               0.000944
                     18,                 1.5745,                 1.4584,                 1.6387,                0.53034,                0.46876,                0.49979,                0.24904,                  1.665,                 1.5104,                 1.6008,               0.000878,               0.000878,               0.000878
                     19,                 1.5751,                 1.4582,                 1.6383,                0.56773,                0.46573,                0.51766,                0.26141,                 1.6784,                 1.4669,                 1.6143,               0.000812,               0.000812,               0.000812
                     20,                  1.573,                 1.4294,                 1.6251,                0.53932,                0.51041,                 0.5317,                0.26565,                 1.6531,                 1.4434,                 1.5919,               0.000746,               0.000746,               0.000746
                     21,                 1.5973,                 1.3787,                 1.6597,                0.57336,                0.47633,                0.51183,                0.26163,                 1.6408,                  1.497,                 1.6061,                0.00068,                0.00068,                0.00068
                     22,                 1.5749,                 1.3459,                 1.6449,                 0.5893,                0.47486,                0.52021,                0.26322,                 1.6401,                 1.4778,                 1.6135,               0.000614,               0.000614,               0.000614
                     23,                 1.5529,                  1.311,                 1.6269,                0.53342,                0.51874,                0.52765,                0.26925,                  1.642,                 1.4233,                 1.6088,               0.000548,               0.000548,               0.000548
                     24,                 1.5366,                 1.2836,                 1.6204,                0.57443,                0.47861,                0.53026,                 0.2783,                 1.6151,                 1.4308,                 1.5769,               0.000482,               0.000482,               0.000482
                     25,                 1.5148,                 1.2518,                 1.6046,                0.57393,                0.50443,                 0.5537,                0.29108,                 1.6001,                 1.3751,                 1.5623,               0.000416,               0.000416,               0.000416
                     26,                  1.495,                 1.2197,                 1.5913,                0.56704,                 0.4911,                0.52626,                 0.2715,                 1.6365,                 1.4495,                 1.5925,                0.00035,                0.00035,                0.00035
                     27,                 1.4709,                 1.1957,                  1.573,                0.56131,                0.51761,                0.55015,                0.28372,                  1.612,                 1.3804,                 1.5902,               0.000284,               0.000284,               0.000284
                     28,                 1.4456,                 1.1542,                 1.5592,                0.56758,                 0.5303,                0.55563,                0.28894,                  1.601,                 1.3771,                 1.5644,               0.000218,               0.000218,               0.000218
                     29,                  1.429,                 1.1336,                  1.546,                0.57798,                0.53578,                0.57148,                0.30013,                 1.6034,                 1.3376,                 1.5675,               0.000152,               0.000152,               0.000152
                     30,                 1.4119,                 1.1068,                 1.5306,                  0.574,                0.54525,                0.57168,                0.29863,                 1.5921,                    nan,                 1.5643,                8.6e-05,                8.6e-05,                8.6e-05
